Word,中文,詞性,例句,中文說明,EN,US
explode,（使）爆炸，（使）爆破,verb,A bomb exploded at one of the capital's busiest railway stations this morning.,今早一枚炸彈在首都最繁忙的一個火車站爆炸。,/ɪkˈspləʊd/,/ɪkˈspləʊd/
explore,探測；勘查；探索；研究,verb,The best way to explore the countryside is on foot.,探索農村地區，步行是最好的方法了。,/ɪkˈsplɔː(r)/,/ɪkˈsplɔːr/
explosion,爆炸；爆破；爆裂,noun,The fire was thought to have been caused by a gas explosion.,有人認為火災是由於煤氣爆炸引起的。,/ɪkˈspləʊʒn/,/ɪkˈspləʊʒn/
export,出口；輸出,verb,French cheeses are exported to many different countries.,法國的起司出口到很多國家。,/ˈekspɔːt/,/ˈekspɔːrt/
expose,暴露；露出；使曝光,verb,The plaster on the walls has been removed to expose the original bricks underneath.,牆上的灰泥已被除去，露出了裡面原本的牆磚。,/ɪkˈspəʊz/,/ɪkˈspəʊz/
express,陳述；表達；表露,verb,Her eyes expressed deep sadness.,她眼神中流露出深切的悲傷。,/ɪkˈspres/,/ɪkˈspres/
expression,表示；表達；表露,noun,He wrote her a poem as an expression of his love.,他寫了一首詩給她以表達愛慕之情。,/ɪkˈspreʃn/,/ɪkˈspreʃn/
extend,擴大；擴展；使增加長度,verb,We have plans to extend our house (= to make it bigger).,我們計劃擴建房屋。,/ɪkˈstend/,/ɪkˈstend/
extension,伸展；延伸,noun,"Martin Luther King, Jr, campaigned for the extension of civil rights to (= for them to include) black people.",小馬丁‧路德‧金發起了為黑人爭取公民權利的運動。,/ɪkˈstenʃn/,/ɪkˈstenʃn/
extensive,廣闊的，大面積的；覆蓋範圍廣的,adjective,a school with extensive grounds,操場很大的學校,/ɪkˈstensɪv/,/ɪkˈstensɪv/
extent,面積，範圍；長度；數量,noun,"From the top of the Empire State Building, you can see the full extent of Manhattan (= the area it covers).",你可以從帝國大廈的頂樓看到曼哈頓全景。,/ɪkˈstent/,/ɪkˈstent/
extra,額外的；附加的,adjective,"If you need any extra help, just call me.",如果還需要其他的幫助，儘管打電話給我。,/ˈekstrə/,/ˈekstrə/
extraordinary,非凡的；特別的；意想不到的；令人驚奇的,adjective,He told the extraordinary story of his escape.,他講述了他離奇的逃亡經歷。,/ɪkˈstrɔːdnri/,/ɪkˈstrɔːrdəneri/
extreme,極大的；極度的；極端的,adjective,extreme pain/stupidity/wealth,極其痛苦／愚蠢／富有,/ɪkˈstriːm/,/ɪkˈstriːm/
extremely,非常;極端;極其,adverb,They played extremely well.,他們演奏得非常精彩。,/ɪkˈstriːmli/,/ɪkˈstriːmli/
eye,眼睛,noun,He has no sight in his left eye.,他左眼失明。,/aɪ/,/aɪ/
