Word,中文,詞性,例句,中文說明,EN,US
pressure,壓力,noun,He put too much pressure on the door handle and it snapped.,他用力過猛，把門的把手弄斷了。,/ˈpreʃə(r)/,/ˈpreʃər/
presumably,據推測，大概，可能,adverb,They can presumably afford to buy a bigger apartment.,他們大概買得起一間大一點的公寓。,/prɪˈzjuːməbli/,/prɪˈzuːməbli/
pretend,假裝，偽稱;（遊戲中）裝扮,verb,"He pretended (that) he didn't mind, but I knew that he did.",他假裝不在乎，但我知道他很介意。,/prɪˈtend/,/prɪˈtend/
pretty,相當，頗，很，非常,adverb,"The house has four bedrooms, so it's pretty big.",這棟房子有四間臥房，因此非常大。,/ˈprɪti/,/ˈprɪti/
prevent,阻止，妨礙；預防,verb,Label your suitcases to prevent confusion.,在你的手提箱上貼上標籤以防搞混。,/prɪˈvent/,/prɪˈvent/
previous,以前的，先前的,adjective,The previous owner of the house had built an extension on the back.,這棟房子以前的主人對房子後部進行了擴建。,/ˈpriːviəs/,/ˈpriːviəs/
previously,以前地，先前地,adverb,She was previously employed as a tour guide.,她以前受聘當導遊。,/ˈpriːviəsli/,/ˈpriːviəsli/
price,價格，價錢,noun,The price of oil has risen sharply.,油價急遽上漲。,/praɪs/,/praɪs/
pride,自豪，得意,noun,She felt a great sense of pride as she watched him accept the award.,看著他接過那個獎，她感到非常自豪。,/praɪd/,/praɪd/
priest,神父，牧師，司鐸;（基督教以外的）神職人員,noun,Father O'Dooley was ordained a priest in 1949.,奧杜利神父是1949年被授予神父職位的。,/priːst/,/priːst/
primarily,主要地,adverb,We're primarily concerned with keeping expenditure down.,我們主要關心的是縮減開支。,/praɪˈmerəli/,/ˈpraɪmərəli/
primary,首要的；主要的,adjective,The Red Cross's primary concern is to preserve and protect human life.,紅十字會最關心的是維護人的生命安全。,/ˈpraɪməri/,/ˈpraɪmeri/
prime minister,首要的；主要的,noun,,,,
prince,王子;親王;王孫,noun,Prince Edward,愛德華王子,/prɪns/,/prɪns/
princess,（孫）公主;王妃;親王夫人,noun,Lady Diana Spencer became Princess Diana when she married Prince Charles.,戴安娜•斯賓塞女士在與查理斯王子結婚後成為戴安娜王妃。,/ˌprɪnˈses/,/ˈprɪnses/
principle,原理;原則,noun,the principles of the criminal justice system,刑事審判制度的原則,/ˈprɪnsəpl/,/ˈprɪnsəpl/
print,印出的字體，印刷字體,noun,The title is in bold print.,標題是粗體字。,/prɪnt/,/prɪnt/
printer,印表機,noun,a bubblejet/dot matrix/laser printer,噴墨／點陣式／雷射印表機,/ˈprɪntə(r)/,/ˈprɪntər/
printing,印刷,noun,She runs her own printing business.,她經營自己的印刷公司。,/ˈprɪntɪŋ/,/ˈprɪntɪŋ/
prior,在先的，在前的;居先的,adjective,The course required no prior knowledge of Spanish.,這門課不要求先前學過西班牙語。,/ˈpraɪə(r)/,/ˈpraɪər/
priority,優先考慮的事,noun,The management did not seem to consider office safety a priority.,管理部門似乎並不認為應該優先考慮辦公室安全問題。,/praɪˈɒrəti/,/praɪˈɔːrəti/
prison,監獄,noun,Conditions in the prison are said to be appalling.,聽說監獄裡的條件糟透了。,/ˈprɪzn/,/ˈprɪzn/
prisoner,犯人，囚犯,noun,Prisoners climbed onto the prison roof to protest the conditions inside the prison.,犯人們爬上監獄屋頂對監獄裡的條件環境表示抗議。,/ˈprɪznə(r)/,/ˈprɪznər/
private,私人（用）的；私有的,adjective,She has a small office that is used for private discussions.,她有一間小辦公室，做密談之用。,/ˈpraɪvət/,/ˈpraɪvət/
privately,私下地，秘密地,adverb,She spoke privately with the manager.,她私下與經理面談。,/ˈpraɪvətli/,/ˈpraɪvətli/
prize,獎;獎賞;獎金,noun,"The critics' prize for best film was won by Marc Abbott for ""Belly Laugh"".",馬克•阿博特的《捧腹大笑》被評論家們評為最佳影片。,/praɪz/,/praɪz/
probable,很可能真實的;很可能發生的,adjective,The probable cause of death was heart failure.,死因很可能是心臟衰竭。,/ˈprɒbəbl/,/ˈprɑːbəbl/
probably,很可能;大概,adverb,I'll probably be home by midnight.,我很可能半夜到家。,/ˈprɒbəbli/,/ˈprɑːbəbli/
problem,（須解決的）問題；疑難問題，困難,noun,financial/health problems,財政／健康問題,/ˈprɒbləm/,/ˈprɑːbləm/
procedure,程式；步驟；常規,noun,The company has new procedures for dealing with complaints.,公司採取了新的處理投訴事宜的程式。,/prəˈsiːdʒə(r)/,/prəˈsiːdʒər/
proceed,繼續進行，繼續做,verb,His lawyers have decided not to proceed with the case.,他的律師已經決定不再繼續打那場官司了。,/prəˈsiːd/,/prəʊˈsiːd/
produce,生產;出產;製造,verb,France produces a great deal of wine for export.,法國生產大量葡萄酒供出口。,/prəˈdjuːs/,/prəˈduːs/
producer,製作人，製片人,noun,a Hollywood/movie producer,好萊塢／電影製片人,/prəˈdjuːsə(r)/,/prəˈduːsər/
product,產品;產物,noun,They do a range of skin-care products.,他們生產一系列的護膚品。,/ˈprɒdʌkt/,/ˈprɑːdʌkt/
production,生產;製造,noun,Coke is used in the production of steel.,焦炭用於煉鋼。,/prəˈdʌkʃn/,/prəˈdʌkʃn/
profession,（尤指需要特殊訓練或專業技能的）職業,noun,He left the teaching profession in 1965 to start his own business.,他1965年離開教師崗位自己創業。,/prəˈfeʃn/,/prəˈfeʃn/
professional,職業的;專業的,adjective,"Chris, you're a nurse, so can I ask your professional opinion on bandaging ankles?",克麗絲，你是個護士，能否徵求一下你對踝部包紮的意見？,/prəˈfeʃənl/,/prəˈfeʃənl/
professor,教授,noun,Professor Stephen Hawking,斯蒂芬•霍金教授,/prəˈfesə(r)/,/prəˈfesər/
profit,利潤，盈利,noun,She makes a big profit from selling waste material to textile companies.,她將廢棄材料賣給紡織公司，從中賺取大筆利潤。,/ˈprɒfɪt/,/ˈprɑːfɪt/
program,（電腦）程式;編碼指令,noun,a computer program,電腦程式,/ˈprəʊɡræm/,/ˈprəʊɡræm/
programme,（電視或廣播中的）節目,noun,It's one of those arts programmes late at night.,這是深夜播放的藝術類節目之一。,/ˈprəʊɡræm/,/ˈprəʊɡræm/
progress,進步，進展,noun,Technological progress has been so rapid over the last few years.,在最近幾年中，科技進步如此迅猛。,/ˈprəʊɡres/,/ˈprɑːɡres/
project,方案；工程；專案計劃,noun,the Kings Cross housing project,國王十字路口的住宅專案,/ˈprɒdʒekt/,/ˈprɑːdʒekt/
promise,允諾，答應;保證,verb,He promised faithfully to call me every week.,他信誓旦旦地保證每週都打電話給我。,/ˈprɒmɪs/,/ˈprɑːmɪs/
promote,促進;促銷，推銷;推廣,verb,Advertising companies are always having to think up new ways to promote products.,廣告公司總是得想出新辦法來促銷。,/prəˈməʊt/,/prəˈməʊt/
promotion,促銷，推銷;宣傳,noun,a sales promotion,促銷,/prəˈməʊʃn/,/prəˈməʊʃn/
prompt,引起；導致；激起,verb,The bishop's speech has prompted an angry response from both political parties.,主教的發言激起了兩大政黨的憤怒回應。,/prɒmpt/,/prɑːmpt/
promptly,迅速地，立即地;依照預定時間地,adverb,We'll have to leave fairly promptly (= on time) if we want to catch that train.,如果我們要趕那班火車，就得準時出發。,/ˈprɒmptli/,/ˈprɑːmptli/
pronounce,發（音），讀（音）,verb,How do you pronounce your surname?,你的姓怎麼念？,/prəˈnaʊns/,/prəˈnaʊns/
pronunciation,發音,noun,English pronunciation is notoriously difficult.,英語的發音出了名的難。,/prəˌnʌnsiˈeɪʃn/,/prəˌnʌnsiˈeɪʃn/
proof,證據；證物；證明,noun,Do they have any proof that it was Hampson who stole the goods?,他們有甚麼證據證明是漢普森偷了貨物？,/pruːf/,/pruːf/
proper,適合的；適當的；恰當的；正確的,adjective,This is Sara's first proper job - she usually does temporary work just for the money.,這是莎拉的第一份正式工作——她通常只是為了賺錢而打零工。,/ˈprɒpə(r)/,/ˈprɑːpər/
properly,正確地；合適地,adverb,It's still not working properly.,它還是不能正常運轉。,/ˈprɒpəli/,/ˈprɑːpərli/
property,所有物;財產;資產,noun,The club does not accept responsibility for loss of or damage to club members' personal property.,該俱樂部不承擔會員個人財產遺失或損壞的責任。,/ˈprɒpəti/,/ˈprɑːpərti/
proportion,部分;份額,noun,Children make up a large proportion of the world's population.,孩童佔世界人口的很大一部分。,/prəˈpɔːʃn/,/prəˈpɔːrʃn/
proposal,建議;計劃;提案,noun,Congress has rejected the latest economic proposal put forward by the President.,議會否決了總統最近提出的經濟計劃。,/prəˈpəʊzl/,/prəˈpəʊzl/
propose,建議;提議;提出,verb,I propose that we wait until the budget has been announced before committing ourselves to any expenditure.,我建議我們在還沒宣佈預算以前不要有任何支出。,/prəˈpəʊz/,/prəˈpəʊz/
prospect,（發生好事情的）可能，可能性，機會,noun,Is there any prospect of the weather improving?,天氣有可能好轉嗎？,/ˈprɒspekt/,/ˈprɑːspekt/
protect,保護，防護,verb,clothing that protects you against the cold,禦寒的衣服,/prəˈtekt/,/prəˈtekt/
protection,保護；受保護,noun,Their flimsy tent gave/offered little protection against the severe storm.,他們薄薄的帳篷幾乎無法抵擋狂風暴雨的襲擊。,/prəˈtekʃn/,/prəˈtekʃn/
protest,抗議;反對,noun,Protests have been made/registered by many people who would be affected by the proposed changes.,許多將因擬議改變而受到影響的人舉行了抗議活動。,/ˈprəʊtest/,/ˈprəʊtest/
proud,自豪的，得意的,adjective,You must be very proud of your son.,你一定為你的兒子感到非常自豪。,/praʊd/,/praʊd/
proudly,自豪地,adverb,He proudly held out his trophy for us to admire.,他自豪地拿出他的獎盃讓我們觀賞。,/ˈpraʊdli/,/ˈpraʊdli/
prove,證明是，結果是,verb,The operation proved a complete success.,這場手術結果是大成功。,/pruːv/,/pruːv/
provide,提供，供給,verb,This booklet provides useful information about local services.,這本小冊子提供了有關當地服務機構的有用資訊。,/prəˈvaɪd/,/prəˈvaɪd/
pub,（英國或愛爾蘭的）酒吧，酒館,noun,Do you want to go to (informal go down) the pub after work?,你下班後想去酒吧嗎？,/pʌb/,/pʌb/
public,民眾的，大眾的,adjective,Public opinion (= the opinions of most people) has turned against him.,民意已不再支持他了。,/ˈpʌblɪk/,/ˈpʌblɪk/
publication,發表;公佈;出版,noun,The brochure will be ready for publication in September.,這本小冊子將在九月份出版。,/ˌpʌblɪˈkeɪʃn/,/ˌpʌblɪˈkeɪʃn/
publicity,宣傳活動;宣傳，推廣;關注,noun,He attracted a lot of adverse/bad publicity with his speech about unmarried mothers.,他針對未婚媽媽所作的演講招致了公眾的不少抨擊。,/pʌbˈlɪsəti/,/pʌbˈlɪsəti/
publicly,公開地，當眾,adverb,The company publicly apologized and agreed to contribute some money to charity.,公司公開致歉，並答應捐款給慈善組織。,/ˈpʌblɪkli/,/ˈpʌblɪkli/
publish,公佈;出版;發表,verb,She's just had an article published in their weekend supplement.,她剛在他們週末版的增刊上發表了一篇文章。,/ˈpʌblɪʃ/,/ˈpʌblɪʃ/
publishing,出版業,noun,a career in publishing,在出版界工作,/ˈpʌblɪʃɪŋ/,/ˈpʌblɪʃɪŋ/
pull,拖，拉，扯,verb,Could you help me move this bookcase over there? You pull and I'll push.,你能幫我把這個書櫃移到那邊去嗎？你拉我推。,/pʊl/,/pʊl/
pull apart,使分開,phrasal verb,They went for each other with their fists and had to be pulled apart.,他們揮著拳頭打了起來，不得不被人拉開。,,
pull down,（電腦螢幕上）下拉式功能表，下拉選單,noun,"Click ""Tools"", then select ""Options"" from the pull-down menu.",按一下「工具」，然後從下拉式功能表裡選擇「選項」。,,
pull in,逮捕，拘留（某人）,phrasal verb,The police pulled in dozens of protesters during the demonstration.,示威遊行期間員警逮捕了許多抗議人士。,,
pull off,成功做成（困難或出乎意料的事）,phrasal verb,The central bank has pulled off one of the biggest financial rescues of recent years.,中央銀行完成了近年來規模最大的一次經濟援助。,,
pull out,（車輛）開出，離去,phrasal verb,A car pulled right out in front of me.,一輛小轎車正好開到我的面前。,,
pull over,（車輛）駛到路邊,phrasal verb,"Just pull over here, and I'll get out and walk the rest of the way.",就在這裡停車吧，剩下的路我下車自己走。,,
pull through,（尤指從致命的重病中）恢復健康,phrasal verb,They said the operation had been successful and they expected his wife to pull through.,他們說手術很成功，預期他妻子能度過險境。,,
pull together,齊心協力，通力合作,phrasal verb,We don't have much time but if we all pull together we should get the job done.,我們沒有多少時間了，但如果齊心協力的話應該能完成任務。,,
pull up,責備（某人），批評（某人）,phrasal verb,She's always pulling me up for/on/over my bad spelling.,她總是批評我的拼寫很糟糕。,,
punch,一拳，一擊,noun,She gave him a punch on the nose.,她朝著他的鼻子打了一拳。,/pʌntʃ/,/pʌntʃ/
punish,懲罰,verb,Those responsible for these crimes must be brought to court and punished.,那些該為罪行負責的人必須被送上法庭接受懲罰。,/ˈpʌnɪʃ/,/ˈpʌnɪʃ/
punishment,懲罰，處罰;受罰,noun,Many people think that the death penalty is too severe a punishment for any crime.,許多人認為對於無論何種罪行來說，死刑都過於嚴厲了。,/ˈpʌnɪʃmənt/,/ˈpʌnɪʃmənt/
pupil,學生，（尤指）小學生,noun,a second-year pupil,小學二年級學生,/ˈpjuːpl/,/ˈpjuːpl/
purchase,購買,verb,Tickets must be purchased two weeks in advance.,門票必須提前兩週購買。,/ˈpɜːtʃəs/,/ˈpɜːrtʃəs/
pure,純的，不摻雜的,adjective,a pure cotton shirt,純棉襯衫,/pjʊə(r)/,/pjʊr/
purely,僅僅，純粹地,adverb,"On a purely practical level, it is difficult to see how such proposals would work.",從純粹實際的角度來看很難看出這些計劃的可行性。,/ˈpjʊəli/,/ˈpjʊrli/
purple,紫色的，紫紅色的,adjective,purple plums,紫色的李子,/ˈpɜːpl/,/ˈpɜːrpl/
purpose,意圖，目的，原因,noun,The purpose of the research is to try to find out more about the causes of the disease.,研究的目的是試圖進一步探尋引起這種疾病的原因。,/ˈpɜːpəs/,/ˈpɜːrpəs/
pursue,追趕;追捕;追擊,verb,The car was pursued by helicopters.,這輛車遭到多架直升機追捕。,/pəˈsjuː/,/pərˈsuː/
push,推，推動,verb,Can you help me move this table? You push and I'll pull.,你能幫我挪一下這張桌子嗎？你推我拉。,/pʊʃ/,/pʊʃ/
push about,對（某人）粗暴地發號施令，擺布（某人）,phrasal verb,"If you think you can push me around like that, you're mistaken.",如果你認為你能那樣對我發號施令，那麼你錯了。,,
push forward,推進，推行,phrasal verb,Their research has pushed forward the frontiers of knowledge.,他們的研究把知識新領域的發展往前更推進了一步。,,
put,把…放在;放置,verb,Where have you put the keys?,你把鎖匙放在哪了？,/pʊt/,/pʊt/
put away,把…收拾（或儲藏）起來,phrasal verb,Put your toys away now.,現在把你的玩具收起來。,,
put back,將…放回原處,phrasal verb,Will you put the books back when you've finished with them?,你看完書把它們放回原處好嗎？,,
put down,放下;卸下,phrasal verb,I put my bags down while we spoke.,我們說話時，我放下了我的袋子。,,
put forward,提出（想法或計劃）;推薦（某人）,phrasal verb,The proposals that you have put forward deserve serious consideration.,你提出的建議值得認真考慮。,,
put in,安裝（設備）,phrasal verb,I've just had central heating/a new kitchen put in.,我剛剛安裝了一個中央暖氣系統／一個新廚房。,,
put off,延後，拖延,phrasal verb,The meeting has been put off for a week.,會議被延後了一週。,,
put on,（使）（CD播放機或DVD播放機等裝置）運行,phrasal verb,Could you put the light on?,你能把燈打開嗎？,,
put out,（常指敵對部隊之間突發的）交火，炮戰,noun,The opposing units opened fire simultaneously at close range and a 15-minute firefight ensued.,交戰的部隊在近距離內同時向對方開火，交火持續了15分鐘。,,
put through,使（某人）經歷（不愉快的事或困難）,phrasal verb,I'm sorry to put you through this ordeal.,讓你受這種煎熬，我很抱歉。,,
put together,把…組裝在一起；裝配；拼合，組合,phrasal verb,It took several hours to put the puzzle together.,要花好幾個小時才能把拼圖拼好。,,
put up,騙局，奸計,noun,"The hotel looked like a good investment, but it turned out that the whole thing was a put-up job.",這個旅馆看上去像是個不錯的投資，但後來發現整件事只是一場騙局。,,
put up with,忍受，忍耐,phrasal verb,"I can put up with the house being messy, but I hate it if it's not clean.",房子淩亂我能忍受，但我討厭房子不乾淨。,,
